trace,p,sizeRate,size,hitRate,update
wdev_0,0.1,0.04,2084,0.369830764815,45915
wdev_0,0.1,0.05,2605,0.451413881039,39724
wdev_0,0.1,0.06,3126,0.526447827431,34037
wdev_0,0.1,0.07,3647,0.58584987415,30004
wdev_0,0.1,0.08,4168,0.633405181931,26453
wdev_0,0.1,0.09,4689,0.667108705732,24069
wdev_0,0.1,0.1,5211,0.698954837499,21753
wdev_0,0.1,0.15,7816,0.767166387,17016
wdev_0,0.1,0.2,10422,0.790825366511,15310
wdev_0,0.1,0.25,13027,0.790421045659,15344
wdev_0,0.1,0.3,15633,0.78879962245,15399
wdev_0,0.2,0.04,2084,0.34228588934,95439
wdev_0,0.2,0.05,2605,0.428482127086,82707
wdev_0,0.2,0.06,3126,0.50920692396,71175
wdev_0,0.2,0.07,3647,0.577701360064,61153
wdev_0,0.2,0.08,4168,0.62480404928,54171
wdev_0,0.2,0.09,4689,0.664352976243,48722
wdev_0,0.2,0.1,5211,0.700747372604,43509
wdev_0,0.2,0.15,7816,0.799725944979,29169
wdev_0,0.2,0.2,10422,0.835150247284,24063
wdev_0,0.2,0.25,13027,0.851872295328,21347
wdev_0,0.2,0.3,15633,0.85297486311,21511
wdev_0,0.3,0.04,2084,0.316954429038,148573
wdev_0,0.3,0.05,2605,0.402027399982,130554
wdev_0,0.3,0.06,3126,0.489771924402,110894
wdev_0,0.3,0.07,3647,0.566664642763,93837
wdev_0,0.3,0.08,4168,0.618624701934,82839
wdev_0,0.3,0.09,4689,0.65843305661,74340
wdev_0,0.3,0.1,5211,0.691006413936,66942
wdev_0,0.3,0.15,7816,0.80767988828,41686
wdev_0,0.3,0.2,10422,0.845963415173,33415
wdev_0,0.3,0.25,13027,0.864965115252,29139
wdev_0,0.3,0.3,15633,0.876382694516,26865
wdev_0,0.4,0.04,2084,0.290120219906,206457
wdev_0,0.4,0.05,2605,0.382589640555,178351
wdev_0,0.4,0.06,3126,0.46709269849,154363
wdev_0,0.4,0.07,3647,0.55223880597,129571
wdev_0,0.4,0.08,4168,0.610550704319,113595
wdev_0,0.4,0.09,4689,0.651151141482,101257
wdev_0,0.4,0.1,5211,0.688202386735,90332
wdev_0,0.4,0.15,7816,0.806406208602,56262
wdev_0,0.4,0.2,10422,0.846213183344,44494
wdev_0,0.4,0.25,13027,0.870646306191,37323
wdev_0,0.4,0.3,15633,0.887613982602,32532
wdev_0,0.5,0.04,2084,0.255868862051,269585
wdev_0,0.5,0.05,2605,0.360237459154,232521
wdev_0,0.5,0.06,3126,0.453879824252,197484
wdev_0,0.5,0.07,3647,0.536802857017,167364
wdev_0,0.5,0.08,4168,0.598651527864,145533
wdev_0,0.5,0.09,4689,0.640925825753,130108
wdev_0,0.5,0.1,5211,0.679768226177,116364
wdev_0,0.5,0.15,7816,0.805772818599,70307
wdev_0,0.5,0.2,10422,0.845626711119,55814
wdev_0,0.5,0.25,13027,0.873955389473,45630
wdev_0,0.5,0.3,15633,0.886777742206,40941
wdev_0,0.6,0.04,2084,0.225913240749,336739
wdev_0,0.6,0.05,2605,0.327233562218,292696
wdev_0,0.6,0.06,3126,0.439972842886,243262
wdev_0,0.6,0.07,3647,0.529958381171,204093
wdev_0,0.6,0.08,4168,0.591100525479,177588
wdev_0,0.6,0.09,4689,0.627666033737,161666
wdev_0,0.6,0.1,5211,0.66629730416,145360
wdev_0,0.6,0.15,7816,0.810717124437,82368
wdev_0,0.6,0.2,10422,0.850370926433,65005
wdev_0,0.6,0.25,13027,0.872465060055,55536
wdev_0,0.6,0.3,15633,0.89082095072,47456
wdev_0,0.7,0.04,2084,0.215545791751,397327
wdev_0,0.7,0.05,2605,0.284836450146,362768
wdev_0,0.7,0.06,3126,0.414829053696,296723
wdev_0,0.7,0.07,3647,0.523652079837,241457
wdev_0,0.7,0.08,4168,0.591808431953,206986
wdev_0,0.7,0.09,4689,0.620036375077,192878
wdev_0,0.7,0.1,5211,0.653103749006,175617
wdev_0,0.7,0.15,7816,0.818847699373,91919
