hm_0,3993316,1417748,2575568,0,8985487,2933912,6051575,0,610404,488986,428184,3654079,3654079,3653618
src2_0,1557814,176729,1381085,0,2999229,373292,2625937,0,187918,104953,130219,4096509,4096427,4094193
prn_1,11233411,8463801,2769610,3,55663569,47579191,8084378,5,21209710,19343730,3021417,100972864,100972864,100972789
prxy_0,12518968,383524,12135444,0,22642550,817125,21825425,0,230657,79483,185248,5430026,5430026,5429420
ts_0,1801734,316692,1485042,0,4216457,1091561,3124896,0,239289,131140,140985,5750725,5750625,5750725
wdev_0,1143261,229529,913732,0,2654824,724672,1930152,0,138102,52111,90193,4444651,3066098,4444402
usr_0,2237889,904483,1333406,0,12873274,9287751,3585523,2,646969,554527,169331,4169378,4169378,4166163
proj_3,2244644,2128303,116341,18,7715196,6910001,805195,8,1533213,1383543,498965,57775834,57775834,57775817
src2_0,1557814,176729,1381085,0,2999229,373292,2625937,0,187918,104953,130219,4096509,4096427,4094193
prn_1,11233411,8463801,2769610,3,55663569,47579191,8084378,5,21209710,19343730,3021417,100972864,100972864,100972789
prxy_0,12518968,383524,12135444,0,22642550,817125,21825425,0,230657,79483,185248,5430026,5430026,5429420
hm_0,3993316,1417748,2575568,0,8985487,2933912,6051575,0,610404,488986,428184,3654079,3654079,3653618
proj_3,2244644,2128303,116341,18,7715196,6910001,805195,8,1533213,1383543,498965,57775834,57775834,57775817
usr_0,2237889,904483,1333406,0,12873274,9287751,3585523,2,646969,554527,169331,4169378,4169378,4166163
ts_0,1801734,316692,1485042,0,4216457,1091561,3124896,0,239289,131140,140985,5750725,5750625,5750725
wdev_0,1143261,229529,913732,0,2654824,724672,1930152,0,138102,52111,90193,4444651,3066098,4444402
mds_0,1211034,143973,1067061,0,2916662,863725,2052937,0,818174,769376,86930,8890905,8890905,8890453
mds_1,1637711,1521035,116676,13,24893598,24372167,521431,46,22118328,22014981,160872,124475809,124472586,124475809
prn_0,5585886,602480,4983406,0,17635766,3490810,14144956,0,3886547,985474,3247570,17386416,17386416,17386416
proj_0,4224524,527381,3697143,0,40366612,2394518,37972094,0,833112,462462,433489,4257212,4257212,4257211
proj_1,23639742,21142807,2496935,8,228051560,218833068,9218492,23,183106310,183030933,2525985,215054078,215054078,215052319
proj_2,29266482,25641604,3624878,7,340229006,292349494,47879512,6,107516091,107472935,40750427,213963729,213954747,213962731
proj_4,6465639,6369774,95865,66,44450848,44090039,360809,122,32453536,32411052,63747,57789696,57789696,57310611
prxy_1,168638964,110414460,58224504,1,553769020,357450182,196318838,1,3593602,444396,3348911,17780632,17780315,17780567
rsrch_0,1433655,133625,1300030,0,3254278,365113,2889165,0,93773,20855,75878,4427812,4425269,4427812
rsrch_1,13780,42,13738,0,42413,162,42251,0,28775,144,28769,46757638,46690026,46757638
rsrch_2,207587,136364,71223,1,419650,272728,146922,1,194284,174674,22629,21349837,20448807,21349837
src1_0,37415613,21112615,16302998,1,405910929,192475082,213435847,0,31787377,31656826,30085537,71686103,71686103,71686103
src1_1,45746222,43575951,2170271,20,398754515,390791272,7963243,49,31545608,30780233,1094118,71686652,71686652,71653776
src1_2,1907773,484079,1423694,0,14024860,2353292,11671568,0,520894,412584,171516,2096931,2096931,2096927
src2_1,657774,643670,14104,45,9753881,9706134,47747,203,5034303,5019544,16421,44453640,44453634,44453640
src2_2,1156885,350930,805955,0,17426256,6323440,11102816,0,5325043,5325043,5258827,44454660,44454660,44454660
stg_0,2030915,308437,1722478,0,6098667,1936998,4161669,0,1668913,1608935,102899,2835130,2828062,2835130
stg_1,2196861,1400409,796452,1,22466315,20892713,1573602,13,20936004,20865229,103991,26669935,26669935,25598977
usr_1,45283980,41426266,3857714,10,605788304,587198563,18589741,31,172674631,171538746,6586110,215035066,215035066,215034998
usr_2,10570046,8575434,1994612,4,126559875,117611157,8948718,13,99463868,99264060,2677625,139039033,139037201,139039033
wdev_1,1055,0,1055,0,1354,0,1354,0,369,0,369,12681894,-9.22337E+18,12681894
wdev_2,181266,189,181077,0,369098,337,368761,0,20842,195,20742,8891030,8890831,8891030
wdev_3,682,11,671,0,1586,185,1401,0,316,183,133,8888337,2495,8888337
web_0,2029945,606487,1423458,0,9642398,5167718,4474680,1,1915690,1887115,188207,8889550,8889550,8889131
web_1,160891,87058,73833,1,1335196,1092566,242630,4,980813,962441,29968,17781182,17781182,17781178
web_2,5175368,5136405,38963,131,74233826,73990466,243360,304,17636571,17610218,184943,44454741,44454735,44454739
web_3,31380,10050,21330,0,331109,198261,132848,1,154720,58776,110013,44454139,44454139,44454139usr_1,0,600000000,494,555,0.0,0.0916905444126 1021
usr_1,1,600000000,536,347,0.0,0.0419977298524 851
usr_1,0,600000000,494,555,0.0,0.0916905444126,1021
usr_1,1,600000000,536,347,0.0,0.0419977298524,851
usr_1,2,600000000,687,1214,0.0,usr_1,0,600000000,494,555,0.47,0.0916905444126,1021
usr_1,1,600000000,536,347,0.61,0.0419977298524,851
usr_1,2,600000000,687,1214,0.36,0.127435492364,1858
usr_1,0,600000000,494,555,0.47,1047,89,96,0.0916905444126,1021
usr_1,1,600000000,536,347,0.61,881,80,37,0.0419977298524,851
usr_1,2,600000000,687,1214,0.36,1899,131,242,0.127435492364,1858
usr_1,3,600000000,272,1315,0.17,1585,122,202,0.127444794953,1573
usr_1,0,600000000,494,555,0.47,1047,89,96,0.0916905444126,1021
usr_1,1,600000000,536,347,0.61,881,80,37,0.0419977298524,851
usr_1,2,600000000,687,1214,0.36,1899,131,242,0.127435492364,1858
usr_1,3,600000000,272,1315,0.17,1585,122,202,0.127444794953,1573
usr_1,4,600000000,402,1654,0.2,2054,145,207,0.100778967868,2034
usr_1,0,36000000000,327231,48076,0.87,375305,31948,51953,0.138428744621,349310
usr_1,1,36000000000,31215,48039,0.39,79252,4406,28254,0.356508353101,75121
usr_1,2,36000000000,247643,34192,0.88,281833,24724,31953,0.113375651538,264745
usr_1,3,36000000000,6045147,210245,0.97,6255390,554601,686227,0.109701713242,5739449
usr_1,4,36000000000,23520597,60146,1.0,23580741,2210251,1466413,0.0621868922609,22143919
usr_1,0,864000000000,143652156,2224482,0.98,145876636,8356863,59695899,0.409221796148,87873179
usr_1,1,864000000000,61131988,1451187,0.98,62583173,846668,52699728,0.842075041481,10872641
usr_1,2,864000000000,51960609,832642,0.98,52793249,136045,13869460,0.26271275708,39253574
usr_1,3,864000000000,61783618,2177044,0.97,63960660,992436,53314135,0.833545729516,12157474
usr_1,4,864000000000,56607013,5600021,0.91,62207032,1198073,45952568,0.738703752978,18998872
prxy_0,0,600000000,1669,1710,0.49,3377,197,1203,0.356233343204,3100
prxy_0,1,600000000,4,1724,0.0,1726,55,1035,0.599652375435,1726
prxy_0,2,600000000,1,1834,0.0,1833,59,1001,0.54609929078,1833
prxy_0,3,600000000,6,1468,0.0,1472,49,852,0.578804347826,1472
prxy_0,4,600000000,12,1557,0.01,1567,51,911,0.581365666879,1564
prxy_0,0,36000000000,29170,104956,0.22,134124,2533,104119,0.776289105604,117183
prxy_0,1,36000000000,10,87269,0.0,87277,320,64008,0.733389094492,87277
prxy_0,2,36000000000,16505,96905,0.15,113408,1273,97653,0.861076819977,100912
prxy_0,3,36000000000,1,88079,0.0,88078,322,65017,0.738175253752,88078
prxy_0,4,36000000000,5,88425,0.0,88428,346,65329,0.738781833808,88428
prxy_0,0,864000000000,90838,2150289,0.04,2241125,7937,2073811,0.925343744771,2191360
prxy_0,1,864000000000,132742,3118506,0.04,3251246,8137,1988104,0.611489871883,3199190
